name	category	slug	url	marker
Arize	Agent Orchestration	arize-ai	https://arize.com	
Atlan	Agent Orchestration	atlan	https://atlan.com	
AWS Agents	Agent Orchestration	aws/aws-agents	https://aws.amazon.com/bedrock/agentcore/	
AWS SageMaker	Agent Orchestration	aws/sagemaker-ai	https://aws.amazon.com/sagemaker/	
Browserbase Browse	Agent Orchestration	browserbase/browse	https://www.browserbase.com	
Composio	Agent Orchestration	composio	https://composio.dev	
Context7	Agent Orchestration	upstash	https://context7.com	
Create Plugin	Agent Orchestration	cursor/create-plugin	https://cursor.com/marketplace/cursor/create-plugin	C
DataRobot	Agent Orchestration	datarobot	https://www.datarobot.com	
Firetiger	Agent Orchestration	firetiger	https://www.firetiger.com	
Langfuse	Agent Orchestration	langfuse	https://langfuse.com	
Opsera	Agent Orchestration	opsera/opsera-devsecops	https://www.opsera.io	
Parallel	Agent Orchestration	parallel	https://parallel.ai	
Runlayer	Agent Orchestration	runlayer	https://www.runlayer.com	
shadcn/ui	Agent Orchestration	shadcn	https://ui.shadcn.com	
Sourcegraph	Agent Orchestration	sourcegraph	https://sourcegraph.com	
Superpowers	Agent Orchestration	superpowers	https://github.com/obra/superpowers	
Tabnine	Agent Orchestration	tabnine/tabnine	https://www.tabnine.com	
Tabnine Context Engine	Agent Orchestration	tabnine/ctx	https://www.tabnine.com/enterprise-context-engine/	
Docs Canvas	Canvas	cursor/docs-canvas	https://cursor.com/marketplace/cursor/docs-canvas	C
PR Review Canvas	Canvas	cursor/pr-review-canvas	https://cursor.com/marketplace/cursor/pr-review-canvas	C
Intercom	Customer Support	cursor/intercom	https://www.intercom.com	C
Plain	Customer Support	plain	https://www.plain.com	
Amplitude	Data Analytics	amplitude	https://amplitude.com	
Antimetal	Data Analytics	antimetal	https://antimetal.com	
Apify	Data Analytics	apify	https://apify.com	
Astronomer	Data Analytics	astronomer	https://www.astronomer.io	
AWS Data Analytics	Data Analytics	aws/aws-data-analytics	https://aws.amazon.com/big-data/datalakes-and-analytics/	
Azure Cosmos DB	Data Analytics	azure-cosmos-db	https://azure.microsoft.com/en-us/products/cosmos-db	
Braintrust	Data Analytics	braintrust	https://www.braintrust.dev	
Bright Data	Data Analytics	bright-data	https://brightdata.com	
ClickHouse	Data Analytics	clickhouse	https://clickhouse.com	
Confidence by Spotify	Data Analytics	spotify	https://confidence.spotify.com	
Dagster	Data Analytics	dagster	https://dagster.io	
dbt Labs	Data Analytics	dbt-labs	https://www.getdbt.com	
Elastic	Data Analytics	elastic	https://www.elastic.co	
Exa	Data Analytics	exa	https://exa.ai	
Firecrawl	Data Analytics	firecrawl	https://www.firecrawl.dev	
Grafana Cloud	Data Analytics	grafana-labs/grafana-cloud-mcp	https://grafana.com/products/cloud/	
Grafana Labs	Data Analytics	grafana-labs/grafana-assistant	https://grafana.com	
Hex	Data Analytics	hex	https://hex.tech	
Hugging Face	Data Analytics	huggingface	https://huggingface.co	
Mixpanel	Data Analytics	mixpanel	https://mixpanel.com	
Observe by Snowflake	Data Analytics	snowflake/observe	https://www.snowflake.com/en/product/observe/	
Omni	Data Analytics	omni	https://omni.co	
OpenSearch	Data Analytics	opensearch	https://opensearch.org	
Pendo	Data Analytics	pendo	https://www.pendo.io	
PostHog	Data Analytics	posthog	https://posthog.com	
Postman	Data Analytics	postman	https://www.postman.com	
Prisma	Data Analytics	prisma	https://www.prisma.io	
Snowflake	Data Analytics	snowflake/snowflake-cursor-plugin	https://www.snowflake.com	
ThoughtSpot	Data Analytics	thoughtspot	https://www.thoughtspot.com	
Gmail	Featured	cursor/gmail	https://mail.google.com	C
Google Calendar	Featured	cursor/google-calendar	https://calendar.google.com	C
Google Drive	Featured	cursor/google-drive	https://drive.google.com	C
Granola	Featured	granola	https://granola.ai	
Notion	Featured	notion	https://www.notion.so	
Slack	Featured	slack	https://slack.com	
Docusign	Finance And Legal	cursor/docusign	https://www.docusign.com	C
X	Inbox And Collaboration	cursor/x	https://x.com	C
Amazon Location Service	Infrastructure	aws/amazon-location-service	https://aws.amazon.com/location	
Appwrite	Infrastructure	appwrite	https://appwrite.io	
AWS Amplify	Infrastructure	aws/aws-amplify	https://aws.amazon.com/amplify/	
AWS Core	Infrastructure	aws/aws-core	https://aws.amazon.com	
AWS Databases	Infrastructure	aws/databases-on-aws	https://aws.amazon.com/products/databases/	
AWS Deployments	Infrastructure	aws/deploy-on-aws	https://aws.amazon.com/architecture/	
AWS Serverless	Infrastructure	aws/aws-serverless	https://aws.amazon.com/serverless/	
Azure	Infrastructure	azure	https://azure.microsoft.com/en-us	
Browserbase Functions	Infrastructure	browserbase/functions	https://www.browserbase.com/features	
Browserstack	Infrastructure	browserstack	https://www.browserstack.com	
Clerk	Infrastructure	clerk	https://clerk.com	
Cloudflare	Infrastructure	cloudflare	https://www.cloudflare.com	
CockroachDB	Infrastructure	cockroachdb	https://www.cockroachlabs.com	
Convex	Infrastructure	convex	https://convex.dev	
Coralogix	Infrastructure	coralogix-ltd	https://coralogix.com	
Datadog	Infrastructure	datadog	https://www.datadoghq.com	
Encore	Infrastructure	encore	https://encore.dev	
Firebase	Infrastructure	firebase	https://firebase.google.com	
JFrog	Infrastructure	jfrog	https://jfrog.com	
MongoDB	Infrastructure	mongodb/mongodb	https://www.mongodb.com	
Monk.io	Infrastructure	monk-io	https://www.monk.io	
Neon Postgres	Infrastructure	neon	https://neon.tech	
Netlify	Infrastructure	netlify	https://www.netlify.com	
ParadeDB	Infrastructure	parade-db	https://www.paradedb.com	
Pinecone	Infrastructure	pinecone	https://www.pinecone.io	
PlanetScale	Infrastructure	planetscale	https://planetscale.com	
Railway	Infrastructure	railway	https://railway.app	
Redis	Infrastructure	redis	https://redis.io	
Render	Infrastructure	render	https://render.com	
ScyllaDB	Infrastructure	scylla-db	https://www.scylladb.com	
Sentry	Infrastructure	sentry	https://sentry.io	
Supabase	Infrastructure	supabase	https://supabase.com	
Temporal	Infrastructure	temporal	https://temporal.io	
turbopuffer	Infrastructure	turbopuffer	https://turbopuffer.com	
Twilio	Infrastructure	twilio	https://www.twilio.com	
Vantage	Infrastructure	vantage	https://www.vantage.sh	
Vercel	Infrastructure	vercel	https://vercel.com	
WorkOS	Infrastructure	workos	https://workos.com	
Zscaler	Infrastructure	zscaler	https://www.zscaler.com	
1Password	MCP	1password	https://1password.com	
Agent Compatibility	MCP	cursor/agent-compatibility	https://cursor.com/marketplace/cursor/agent-compatibility	C
Aikido	MCP	aikido	https://www.aikido.dev	
AMD	MCP	amd	https://www.amd.com	
Ashby	MCP	cursor/ashby	https://www.ashbyhq.com	C
AtScale	MCP	atscale	https://www.atscale.com	
Auth0	MCP	auth0	https://auth0.com	
Browser Use	MCP	browser-use	https://browser-use.com	
Buildkite	MCP	buildkite	https://buildkite.com	
Chainguard	MCP	chainguard	https://www.chainguard.dev	
Checkmarx	MCP	checkmarx	https://checkmarx.com	
Circleback	MCP	cursor/circleback	https://circleback.ai	C
Cisco ThousandEyes	MCP	cisco-thousand-eyes	https://www.thousandeyes.com	
CLI for Agents	MCP	cursor/cli-for-agent	https://cursor.com/marketplace/cursor/cli-for-agent	C
Cloudinary	MCP	cloudinary	https://cloudinary.com	
CodeRabbit	MCP	coderabbit	https://www.coderabbit.ai	
Continual Learning	MCP	cursor/continual-learning	https://cursor.com/marketplace/cursor/continual-learning	C
Corridor	MCP	corridor	https://www.corridor.dev	
Cursor SDK	MCP	cursor/cursor-sdk	https://cursor.com/marketplace/cursor/cursor-sdk	C
Cursor Team Kit	MCP	cursor/cursor-team-kit	https://cursor.com/marketplace/cursor/cursor-team-kit	C
D&B Commercial Graph	MCP	dun-bradstreet/dnb-commercial-graph	https://www.dnb.com/en-us/solutions/artificial-intelligence/context-layer.html	
D&B Risk Analytics	MCP	dun-bradstreet/dnb-risk-analytics	https://www.dnb.com/en-us/products/dnb-supplier-intelligence.html	
Databricks	MCP	databricks	https://www.databricks.com	
Endor Labs Agent Kit	MCP	endorlabs	https://www.endorlabs.com	
eToro	MCP	etoro	https://www.etoro.com	
Falconer	MCP	falconer	https://falconer.com	
Forge	MCP	opsera/forge	https://www.opsera.io/platform	
GitHits	MCP	githits	https://githits.com	
GitHub	MCP	cursor/github	https://github.com	C
here.now	MCP	here-now	https://here.now	
HeyGen	MCP	heygen	https://www.heygen.com	
Higgsfield	MCP	higgsfield	https://higgsfield.ai	
Lovable	MCP	lovable	https://lovable.dev	
Lucid	MCP	lucid-software	https://lucid.co	
Magic Patterns	MCP	magic-patterns	https://www.magicpatterns.com	
Mainframe	MCP	mainframe	https://cursor.com/marketplace/mainframe	
Mem0	MCP	mem0	https://mem0.ai	
Meta Reality Labs	MCP	meta-reality-labs	https://developers.meta.com/horizon	
Meticulous	MCP	meticulous	https://www.meticulous.ai	
Microsoft Dataverse	MCP	microsoft-dataverse	https://www.microsoft.com/en-us/power-platform/products/power-apps/dataverse	
Modern Web Guidance	MCP	google-chrome	https://goo.gle/modern-web-guidance	
MongoDB Atlas	MCP	mongodb/mongodb-atlas	https://www.mongodb.com/products/platform/atlas-database	
Navan	MCP	cursor/navan	https://navan.com	C
Nvidia Skills	MCP	nvidia	https://developer.nvidia.com	
OneSignal	MCP	onesignal	https://onesignal.com	
Orchestrate	MCP	cursor/orchestrate	https://cursor.com/marketplace/cursor/orchestrate	C
Port	MCP	port	https://www.port.io	
pstack	MCP	cursor/pstack	https://cursor.com/marketplace/cursor/pstack	C
QuiverAI	MCP	quiverai	https://quiver.ai	
Raisely	MCP	raisely	https://www.raisely.com	
React Doctor	MCP	react-doctor	https://react.doctor	
Remotion	MCP	remotion	https://www.remotion.dev	
resolve-ai	MCP	resolve-ai/resolve-ai	https://resolve.ai	
resolve-ai-admin	MCP	resolve-ai/resolve-ai-admin	https://resolve.ai/product/overview	
Revyl	MCP	revyl	https://www.revyl.com	
Roboflow	MCP	roboflow	https://roboflow.com	
Scandit	MCP	scandit	https://www.scandit.com	
Semgrep	MCP	semgrep	https://semgrep.dev	
Sinch	MCP	sinch	https://www.sinch.com	
Snyk	MCP	snyk/snyk-secure-development	https://snyk.io	
Snyk API & Web	MCP	snyk/snyk-api-web	https://snyk.io/product/dast-api-web/	
SonarQube	MCP	sonarsource	https://www.sonarsource.com/products/sonarqube	
Sonatype	MCP	sonatype	https://www.sonatype.com	
Subtext	MCP	subtext	https://www.fullstory.com	
Tavily	MCP	tavily	https://tavily.com	
Thermos	MCP	cursor/thermos	https://cursor.com/marketplace/cursor/thermos	C
1inch	Payments	1inch	https://1inch.io	
Airwallex	Payments	airwallex	https://www.airwallex.com	
Chargebee	Payments	chargebee	https://www.chargebee.com	
Circle	Payments	circle	https://www.circle.com	
Kraken	Payments	kraken	https://www.kraken.com	
Phantom	Payments	phantom	https://phantom.com	
Ramp	Payments	ramp	https://ramp.com	
RevenueCat	Payments	revenuecat/revenuecat	https://www.revenuecat.com	
